customer_id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,name,occupation,risk_rating,is_pep,avg_monthly_volume,volume_deviation_pct
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,$25431,51854.0,72162.0,737,2,Rick Blackwell,Manager,Low,False,5422.423333333333,0.25485169900104143
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,34540.0,22641.0,793,5,Eric Sanders,Teacher,Low,False,3619.97,0.25766184134337
1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,$20248,41287.0,88151.0,662,1,Kara Johnson,Engineer,Low,False,4442.165,0.2911080969796787
1780,46,70,1973,10,Male,9344 Mill Drive,36.62,-121.82,$18663,38054.0,63293.0,666,1,Donna Atkins,Nurse,Low,False,4106.821666666667,0.2950507174015872
1806,59,62,1961,2,Female,299 11th Street,42.31,-71.64,$39418,80371.0,108499.0,822,1,Matthew Nelson,Nurse,Low,False,8229.711666666668,0.22875838299884296
811,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,$51642,84694.0,2149.0,741,7,Jessica Ross,Retired,Low,False,8543.341666666667,0.21047653907006406
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,$23608,37503.0,14272.0,706,5,Tyler Morgan,Retired,Low,False,3896.728333333333,0.2468533184011945
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,65357.0,21844.0,685,4,Michael Richardson,Nurse,Low,False,6720.628333333334,0.23395412886148398
1231,26,52,1994,1,Female,613 Little Creek Lane,26.41,-81.42,$10819,22066.0,38967.0,842,1,Debra Miller,Manager,Low,False,2424.491666666667,0.31849451645064814
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,$21916,44681.0,42011.0,770,3,Jeffrey Carney,Engineer,Low,False,4598.576666666667,0.23504218795461154
381,26,69,1994,2,Male,5101 Birch Lane,38.72,-90.47,$25163,51306.0,68198.0,675,1,Edward Garcia,Manager,Low,False,5439.221666666666,0.272183760183994
1134,18,59,2002,2,Female,7 11th Drive,29.45,-98.5,$12677,25847.0,46379.0,568,1,Edward Griffin,Student,Low,False,2895.4033333333336,0.3442503965643983
1296,60,64,1959,11,Female,2468 Spruce Drive,28.7,-81.34,$22896,46683.0,93126.0,788,5,Carol Wallace,Manager,Low,False,4872.514999999999,0.25249405565195027
1880,61,66,1958,11,Male,8001 Essex Boulevard,43.06,-87.96,$15487,31579.0,52419.0,771,3,Nicholas Buck,Engineer,Low,False,3540.376666666667,0.34534089109851496
322,47,65,1972,10,Male,708 George Street,31.22,-84.21,$13759,28055.0,12475.0,829,3,Jessica Fowler,Engineer,Low,False,3171.22,0.3564298698984138
461,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,$32078,65403.0,80057.0,784,4,Amy Lambert,Engineer,Low,False,6797.436666666667,0.24717887558674687
1165,55,73,1964,11,Female,446 Birch Drive,36.37,-84.12,$13522,27572.0,59404.0,797,1,Jose Brady,Engineer,Low,False,3051.808333333333,0.3282206586391991
1448,48,70,1971,12,Female,578 Maple Avenue,35.05,-82.09,$18899,38539.0,0.0,850,3,Andre Allison,Nurse,Low,False,3946.528333333333,0.2288419523080515
1288,41,57,1978,7,Female,14 Valley Drive,38.47,-81.81,$18666,38059.0,68220.0,634,2,Jessica Martinez,Sales,Low,False,59177.715000000004,17.658729341285902
1178,59,68,1960,11,Female,2475 Little Creek Boulevard,30.56,-97.86,$25872,52754.0,38191.0,693,5,Matthew Cox,Sales,Low,False,5706.086666666666,0.2979686848390642
1391,45,59,1975,2,Male,9604 Catherine Drive,40.72,-73.86,$25109,51196.0,67164.0,631,4,Amanda Hernandez,Engineer,Low,False,5280.576666666667,0.2377318540510977
838,26,70,1993,7,Male,349 First Drive,33.78,-84.44,$24382,49713.0,91776.0,763,1,Jacob Wallace,Sales,Low,False,5228.29,0.2620336732846538
54,21,68,1998,4,Female,7914 Essex Boulevard,41.66,-83.58,$21660,44160.0,134173.0,696,3,Chad Richardson,Student,Low,False,4784.78,0.30021195652173915
1452,46,59,1973,5,Female,524 Ocean Drive,29.76,-95.38,$95039,193773.0,241571.0,660,1,Donald Horne,Sales,Low,False,19179.515,0.18775154433280175
1602,41,66,1979,2,Female,2079 Maple Drive,40.38,-77.88,$14650,29864.0,44902.0,717,2,Cody Holmes,Engineer,Low,False,3166.2450000000003,0.2722656040717922
1938,22,67,1997,7,Male,295 Valley Drive,29.45,-98.5,$28135,57367.0,115418.0,795,2,Autumn Hampton,Student,Low,False,5827.048333333333,0.21889901859954333
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,$32697,56635.0,13015.0,786,8,Cindy Carr,Sales,Low,False,5876.858333333334,0.24520702745651987
688,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,$23165,47227.0,151030.0,760,4,Yvonne Gonzalez,Manager,Low,False,5062.058333333333,0.2862282169098185
749,22,68,1997,10,Male,4098 Park Drive,32.75,-97.33,$12051,24574.0,80667.0,674,3,Benjamin Thompson,Student,Low,False,2770.5766666666664,0.35293073980629924
643,29,65,1991,1,Female,892 Spruce Street,40.69,-73.75,$21283,43397.0,42168.0,697,2,Yolanda Cochran,Teacher,Low,False,4550.373333333334,0.2582547180680695
1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,$28497,58105.0,70254.0,688,3,Victoria Contreras,Teacher,Low,False,6052.426666666666,0.24996334222528174
1198,82,67,1937,6,Male,79 South Boulevard,29.5,-97.44,$15092,10869.0,1820.0,820,2,Krista Roberts,Retired,Low,False,1472.965,0.6262379243720672
898,90,66,1929,6,Female,145 River Drive,40.59,-75.47,$12427,19893.0,1712.0,566,3,Christopher Mckinney,Retired,Low,False,2439.9016666666666,0.4718152113808877
882,63,65,1956,8,Male,7605 Essex Boulevard,40.39,-82.47,$18019,36743.0,71719.0,612,2,Carrie Ward,Engineer,Low,False,3830.8000000000006,0.2511117763927825
348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,$22747,46377.0,79980.0,719,3,William Conner,Nurse,Low,False,4817.323333333334,0.24647734868577106
633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,$24611,50179.0,110515.0,743,1,Johnny Ward,Engineer,Low,False,67806.625,15.215538372625998
1493,30,65,1989,11,Male,136 Spruce Street,38.22,-122.55,$26748,54537.0,121987.0,765,4,Julie Bird,Nurse,Low,False,5730.088333333333,0.26081485963657697
1161,23,66,1996,12,Male,306 First Drive,28.68,-81.51,$24155,49255.0,6557.0,823,2,Stephen Jones,Student,Low,False,5117.88,0.24686955639021416
217,42,65,1977,10,Male,272 Burns Boulevard,41.77,-87.82,$15221,31031.0,21853.0,744,7,Mitchell Mendoza,Teacher,Low,False,3386.531666666667,0.3096058779929749
1877,65,66,1955,1,Male,190 Sixth Drive,32.92,-96.45,$34659,70673.0,87605.0,714,4,Jason Andrews,Engineer,Low,False,7151.811666666667,0.21434975167319917
668,87,57,1932,10,Female,8569 Wessex Boulevard,33.52,-86.79,$13263,16342.0,1758.0,747,5,Evan Jones,Retired,Low,False,2035.2366666666667,0.4944829274262636
533,22,65,1997,9,Male,385 Lexington Boulevard,32.71,-102.65,$15183,30961.0,42597.0,677,1,Joseph Anderson,Student,Low,False,3348.935,0.29799489680565877
203,58,67,1961,3,Female,407 Park Lane,32.9,-80.93,$14864,30305.0,23392.0,776,3,Kristen Matthews,Manager,Low,False,3314.258333333333,0.31236099653522514
1738,30,68,1989,3,Male,5142 Little Creek Street,35.67,-97.41,$33736,68784.0,198417.0,696,4,Betty Shaw,Sales,Low,False,7211.7699999999995,0.25815945568736903
713,25,71,1994,8,Female,224 Mountain View Boulevard,48.19,-114.38,$17040,34745.0,26503.0,691,4,Sandra Holmes,Nurse,Low,False,10347.641666666668,2.5738005468412726
1631,18,67,2001,11,Female,4735 Fifth Avenue,30.44,-91.12,$31741,64715.0,174664.0,740,3,Christopher Donovan,Student,Low,False,6800.991666666668,0.26109711813335407
1487,59,69,1961,2,Female,4793 North Street,40.69,-80.01,$39464,80464.0,76261.0,727,3,Travis Stone,Sales,Low,False,8155.876666666666,0.21632680453370437
1265,18,67,2002,2,Female,72 El Camino Boulevard,40.43,-79.97,$24400,49748.0,23161.0,748,1,Blake Gonzalez,Student,Low,False,5309.513333333333,0.28073812012543226
370,61,58,1958,11,Male,381 Fifth Lane,34.07,-117.62,$16113,41904.0,12545.0,655,4,Denise Weber,Sales,Low,False,4393.863333333334,0.2582655593738068
1014,54,70,1965,9,Female,393 Mountain View Lane,33.6,-117.82,$96516,196784.0,437533.0,729,3,Anna Davidson,Engineer,Low,False,19427.745,0.18471491584681682
290,27,66,1992,3,Female,293 Wessex Street,42.4,-83.6,$49458,100837.0,61377.0,687,2,Lauren Jackson,Sales,Low,False,10241.414999999999,0.2187687059313544
985,32,65,1987,6,Male,7276 Fourth Drive,42.8,-83.71,$25334,51654.0,95454.0,600,4,Stephanie Morgan,Manager,Low,False,5372.626666666666,0.2481418670383705
135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,$18680,38088.0,51679.0,691,2,Amanda Shields,Sales,Low,False,4088.718333333333,0.2881910312959461
307,18,69,2001,8,Male,2846 Lake Avenue,30.23,-92.81,$18082,36866.0,0.0,680,2,Travis Wise,Student,Low,False,3986.9449999999997,0.2977632506916941
1783,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,$18443,37607.0,63689.0,749,5,Daniel Armstrong,Engineer,Low,False,3990.781666666667,0.2734166511553701
1321,49,66,1970,10,Female,981 Fifth Boulevard,40.26,-103.79,$16910,34480.0,58795.0,696,1,Amanda Small,Manager,Low,False,3811.8583333333336,0.3266328306264502
1511,43,66,1977,1,Male,18 Norfolk Boulevard,43.07,-89.38,$23680,48279.0,114254.0,719,2,Maria Turner,Teacher,Low,False,5107.581666666666,0.2695163528656351
900,36,65,1983,7,Male,977 Littlewood Avenue,30.17,-85.67,$16133,32896.0,69800.0,735,2,Robert Sullivan,Sales,Low,False,3592.3733333333334,0.3104474708171207
953,18,71,2001,6,Male,993 Mountain View Avenue,33.78,-117.33,$14667,29909.0,42832.0,664,2,Michael Moore,Student,Low,False,3236.59,0.2985750108662945
233,37,64,1982,12,Female,896 Rose Street,44.96,-93.26,$23278,47464.0,83591.0,716,1,John Peterson,Engineer,Low,False,5030.595,0.27185108713972694
406,23,64,1996,5,Female,2418 Mill Drive,37.3,-122.0,$41750,85128.0,108678.0,641,1,Scott Flores,Student,Low,False,36810.63166666667,4.188981063809792
1069,54,69,1965,9,Male,3683 Fifth Street,35.3,-81.03,$22487,45852.0,114746.0,615,2,Haley Ross PhD,Teacher,Low,False,4816.83,0.2606202564773619
180,33,67,1986,7,Female,0 Elm Street,33.53,-112.18,$13024,26556.0,43042.0,840,2,Ashley Allen,Teacher,Low,False,3015.53,0.36264347040216904
996,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,$19712,40194.0,107765.0,738,6,Jerry Thomas,Nurse,Low,False,4265.3516666666665,0.27342936756729863
1866,22,67,1998,2,Male,213 Rose Drive,32.85,-96.96,$30475,62135.0,75209.0,676,2,Tony Lin,Student,Low,False,6340.290000000001,0.22448668222418944
1981,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,$19274,39303.0,23650.0,702,7,Victor Barrera,Manager,Low,False,4105.59,0.25351957865811775
870,63,64,1956,3,Female,1389 Park Lane,38.64,-76.9,$35114,71593.0,132181.0,821,3,Taylor Griffith,Sales,Low,False,7398.183333333333,0.24004022739653313
16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,$15451,22158.0,19101.0,681,5,Christopher Ferrell,Retired,Low,False,2475.0750000000003,0.3404142973192527
46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,$26481,53996.0,98211.0,632,4,Shawn Jimenez,Engineer,Low,False,5669.865000000001,0.260063338025039
800,28,73,1991,10,Female,6413 Second Street,30.44,-87.18,$12766,26025.0,23971.0,723,4,James Bryant,Nurse,Low,False,2900.038333333334,0.3371934678194047
1968,25,69,1994,11,Female,611 Elm Lane,40.94,-73.86,$31299,63816.0,100128.0,775,1,Kevin Williams,Manager,Low,False,6575.513333333333,0.23646358280055163
697,56,73,1964,1,Female,889 Martin Luther King Avenue,35.72,-78.84,$32485,66230.0,90248.0,742,3,Kyle Cameron,Nurse,Low,False,6686.681666666666,0.21153827570587336
1269,56,56,1963,10,Male,336 Rose Avenue,41.83,-87.68,$25365,36335.0,28929.0,676,2,Donna Smith,Manager,Low,False,3916.56,0.2934834181918261
1782,59,61,1961,2,Female,4254 Plum Lane,33.74,-117.99,$19438,39633.0,58586.0,777,3,Cesar Baker,Manager,Low,False,4242.706666666667,0.28459818837837164
1977,43,69,1976,8,Female,825 Sussex Avenue,41.5,-87.5,$28048,57185.0,0.0,773,3,Jamie Williams,Sales,Low,False,5912.425,0.24069423799947548
1734,37,69,1982,11,Male,185 Forest Drive,33.95,-84.54,$40530,82637.0,84762.0,739,2,Justin Cox,Manager,Low,False,8446.31,0.2265174195578252
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,$34259,31121.0,32768.0,619,5,James Cole,Nurse,Low,False,3403.766666666667,0.3124642524340479
858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,$15092,30774.0,51428.0,700,3,Samantha Hanson,Manager,Low,False,3374.806666666667,0.31597062455319425
606,48,67,1971,12,Male,1773 Hill Street,39.4,-88.8,$16300,33236.0,57549.0,747,1,Betty Davis,Sales,Low,False,3690.9616666666666,0.33263750150439286
1564,35,65,1984,10,Male,55 Ocean View Street,35.2,-101.81,$18613,37947.0,49951.0,683,3,William Grant,Sales,Low,False,4026.99,0.2734571902917226
1109,24,65,1995,11,Male,8245 El Camino Lane,37.68,-97.34,$21518,43875.0,128146.0,639,1,Charles Morrison,Student,Low,False,4582.873333333333,0.2534354415954415
1301,26,66,1993,5,Female,9530 Washington Street,38.1,-122.63,$30335,61850.0,81158.0,728,9,Andrew Williams,Nurse,Low,False,6396.746666666666,0.24108261924009688
1399,28,71,1991,5,Male,221 Lexington Avenue,32.08,-81.1,$19770,40314.0,131348.0,707,4,Regina Stone,Teacher,Low,False,4339.28,0.29164458996874537
1775,26,67,1993,8,Male,2484 Norfolk Drive,38.91,-75.43,$18622,37968.0,55982.0,788,3,Steven Taylor,Teacher,Low,False,4009.486666666667,0.26722081753055216
1673,41,67,1978,11,Male,133 Grant Lane,43.46,-85.95,$17145,34954.0,45456.0,772,3,Emily Long,Manager,Low,False,3798.351666666667,0.30400583624191796
1957,40,74,1979,9,Male,1977 Lake Avenue,34.15,-118.6,$47055,95945.0,222735.0,772,2,Sarah Wheeler,Engineer,Low,False,9703.635,0.21364969513783935
1033,18,58,2002,2,Female,352 George Street,43.07,-82.49,$16598,33844.0,42109.0,684,2,Katrina Burns,Student,Low,False,3683.0833333333335,0.3059035574991136
1024,66,67,1953,4,Male,554 Grant Boulevard,37.69,-97.13,$32162,65573.0,143069.0,739,4,Karen Smith,Retired,Low,False,6623.608333333334,0.21213456758116914
1441,40,66,1979,7,Male,631 Ocean View Street,43.07,-89.38,$23840,48609.0,43520.0,737,3,Brian Butler,Manager,Low,False,5115.1016666666665,0.26275422246909014
1103,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,$12618,25723.0,34007.0,746,3,Steven Wiggins,Government Official,High,True,2891.846666666667,0.34907125918438764
431,19,72,2000,3,Female,973 Federal Avenue,30.62,-87.89,$25495,51984.0,79152.0,691,3,Linda Baker,Student,Low,False,5331.573333333333,0.23074176669744517
165,34,65,1986,2,Male,95266 Bayview Drive,37.83,-122.22,$52813,107683.0,225017.0,694,3,Valerie Lane,Nurse,Low,False,10860.736666666666,0.2103009760129268
353,24,69,1996,2,Female,932 Essex Street,33.83,-117.2,$16109,32847.0,33514.0,721,2,Anthony Castillo,Student,Low,False,3422.6749999999997,0.2504064298109416
1758,57,66,1963,1,Male,126 Valley Drive,32.32,-90.2,$11061,22556.0,43260.0,645,4,Michelle Hampton,Nurse,Low,False,2747.008333333333,0.46143376485192406
1266,35,54,1984,9,Female,239 South Drive,39.51,-76.17,$22590,46063.0,106528.0,618,1,Roberto Allen,Nurse,Low,False,4774.296666666666,0.24376527798884132
1943,19,65,2000,9,Female,1134 Valley Drive,41.71,-72.83,$46762,95348.0,71972.0,706,3,Melody Lee,Student,Low,False,9581.871666666666,0.20592419348072316
792,28,65,1992,1,Female,5863 Grant Avenue,38.71,-95.08,$22158,45180.0,13168.0,698,2,Jason Gutierrez,Nurse,Low,False,4787.45,0.271567065073041
1055,37,69,1982,4,Male,3472 11th Avenue,28.5,-81.37,$15137,30865.0,55079.0,594,1,Jonathan Carr,Sales,Low,False,3375.595,0.3123972136724445
1159,20,69,1999,11,Male,5590 Bayview Avenue,43.05,-82.67,$20377,41543.0,49021.0,732,4,Ryan Luna,Student,Low,False,4490.701666666667,0.2971720867534843
1115,53,73,1966,9,Male,94 Jefferson Drive,32.32,-95.3,$14811,30198.0,40950.0,693,6,Kelly Hoffman,Teacher,Low,False,3229.3566666666666,0.2832730644413537
38,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,$19621,40006.0,72794.0,621,1,Mrs. Jamie Frye DDS,Nurse,Low,False,4243.321666666667,0.27280557916312553
1027,53,68,1966,5,Male,809 Mountain View Boulevard,38.88,-94.81,$30232,61646.0,0.0,693,3,Kimberly Lowe,Engineer,Low,False,6285.511666666666,0.22353664471336337
11,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,$33175,67643.0,0.0,714,6,Melanie Lara,Engineer,Low,False,6999.843333333333,0.24178584628121158
871,86,71,1933,5,Female,81 Hill Avenue,42.38,-83.1,$13820,22650.0,0.0,690,6,John Bernard,Retired,Low,False,2588.6916666666666,0.3714922737306843
746,63,67,1956,10,Male,28136 Wessex Street,40.64,-73.94,$14856,30288.0,42745.0,689,4,Edwin David,Engineer,Low,False,3140.34,0.24419175911251986
1520,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,$22549,47213.0,1082.0,789,5,Dr. Michele Vaughn,Retired,Low,False,5082.7266666666665,0.2918628343888336
1372,76,66,1943,10,Female,96 Ninth Lane,34.95,-96.75,$15005,28215.0,18116.0,697,2,John Castro DVM,Retired,Low,False,3171.771666666666,0.3489725323409532
1799,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,$51751,105515.0,192458.0,646,4,Donna Berry,Engineer,Low,False,10675.435,0.21409486802824243
1905,36,68,1983,12,Male,9340 Valley Street,27.48,-82.57,$13972,28489.0,6087.0,808,4,Stephanie Foster,Sales,Low,False,3113.9383333333335,0.31163817613815864
130,63,69,1956,9,Female,6429 Fifth Avenue,35.19,-80.83,$39752,81048.0,156195.0,781,4,Raymond Thomas,Engineer,Low,False,8177.498333333333,0.21076374494126932
1990,19,62,2000,12,Female,849 George Avenue,38.77,-76.06,$23180,47263.0,74853.0,726,2,Tyler Miller,Student,Low,False,4958.456666666666,0.25894420582696814
593,19,71,2000,7,Male,804 Seventh Boulevard,40.52,-122.32,$16585,33816.0,77770.0,635,1,Mary Burgess,Student,Low,False,3707.4950000000003,0.3156476224272534
540,25,69,1994,9,Female,76009 Valley Stream Boulevard,42.37,-87.86,$15770,32160.0,62803.0,634,1,Ronald Nelson,Nurse,Low,False,3563.773333333333,0.3297661691542288
1155,83,65,1936,8,Female,387 Third Boulevard,31.5,-111.06,$15462,29494.0,1196.0,689,5,Denise Rodriguez,Retired,Low,False,3174.5533333333333,0.29160642842612056
663,68,63,1951,3,Female,6398 Lake Lane,35.92,-86.84,$36563,70554.0,39078.0,655,5,Cynthia Williams,Retired,Low,False,7216.71,0.22743600646313467
1987,63,62,1956,9,Male,786 12th Drive,42.13,-87.92,$23098,33686.0,24997.0,488,2,Courtney Hall,Manager,Low,False,3667.1849999999995,0.3063652555957963
1484,92,72,1927,8,Female,290 Forest Street,32.28,-110.73,$30818,57732.0,2261.0,726,6,Gary Kennedy,Retired,Low,False,5816.566666666667,0.20901406498995362
417,21,65,1998,3,Male,320 Hillside Lane,35.1,-90.0,$10730,21879.0,69638.0,762,1,Brenda Oconnell,Student,Low,False,2412.2466666666664,0.32304767128296535
298,28,65,1991,5,Male,437 Ocean View Drive,40.79,-77.85,$25031,51041.0,106989.0,686,1,Brooke Delgado,Engineer,Low,False,5322.253333333333,0.2512889637742206
306,18,69,2002,1,Male,9850 Birch Drive,42.28,-71.16,$34519,70380.0,106797.0,725,2,Karen Santos,Student,Low,False,7195.808333333333,0.22690679170218808
607,25,64,1994,8,Male,55 Third Drive,41.92,-87.81,$20902,42617.0,67590.0,771,5,Donna Mitchell,Sales,Low,False,4610.900000000001,0.29832695872539133
1769,75,65,1944,7,Male,177 Mill Boulevard,39.69,-74.25,$21861,46031.0,8332.0,661,5,Randy Pearson,Retired,Low,False,4852.825,0.2651017792357323
698,55,66,1964,10,Female,886 Little Creek Drive,42.62,-73.83,$31927,65094.0,23909.0,699,3,Parker Jefferson,Sales,Low,False,6769.141666666666,0.24788306141887112
896,27,65,1993,2,Female,327 Seventh Boulevard,38.04,-84.45,$18278,37268.0,50388.0,626,1,Thomas Butler,Engineer,Low,False,3868.24,0.24554255661693672
1975,53,67,1967,2,Female,8224 Fourth Drive,41.55,-73.03,$19114,38972.0,44098.0,738,3,Taylor Johnson,Manager,Low,False,4059.3549999999996,0.2499296931130041
